hour,plug,value
29,6,3779.2800000000016
29,7,37239.72199999986
29,9,897.4279999999983
29,11,34178.13000000004
30,2,71355.1729999998
30,3,4.812999999999999
30,5,4824.617999999954
30,6,3745.9640000000027
30,7,36725.37800000009
30,9,209.30399999999997
30,11,33604.42500000005
31,2,70650.22599999982
31,3,8.897
31,5,4762.211999999959
31,6,3691.7340000000027
31,7,36353.31200000007
31,11,33357.79400000001
32,2,19493.632999999856
32,3,9.316999999999998
32,5,4803.889999999966
32,6,3726.6100000000074
32,7,37207.404
32,11,34042.972000000045
33,2,18013.736999999808
33,3,8.304
33,5,101289.81899999996
33,6,78747.2729999999
33,7,36947.88600000005
33,11,33976.49300000003
34,2,26264.613999999918
34,3,7.984
34,5,260897.6980000007
34,6,203651.78299999994
34,7,37321.81300000001
34,11,34111.44500000004
35,2,38900.87700000045
35,3,9.626999999999999
35,5,237243.53200000012
35,6,184889.4549999995
35,7,37532.62700000007
35,11,34206.39200000002
36,2,17942.491999999856
36,3,11.630999999999997
36,5,254636.05000000028
36,6,197043.2580000002
36,7,37224.349999999984
36,11,34016.89500000004
37,2,14935.78399999991
37,3,8.634999999999998
37,5,210001.9030000002
37,6,163219.3629999998
37,7,37494.24600000006
37,11,34450.87100000006
38,2,2440.226000000001
38,3,14.512999999999998
38,5,31384.32
38,6,24703.496000000014
38,7,37792.87300000007
38,11,34656.603000000025
39,2,26861.911999999935
39,3,10.325999999999999
39,5,231036.04399999962
39,6,180189.5040000003
39,7,37307.100000000035
39,11,34363.70300000006
40,2,67728.88899999979
40,3,8.905000000000001
40,5,241427.7969999996
40,6,186809.718
40,7,37761.21800000011
40,11,34693.20100000007
41,2,20847.318999999792
41,3,4.235
41,5,242529.56700000056
41,6,187602.5639999997
41,7,37664.67300000009
41,11,34579.78800000008
42,2,17898.65499999983
42,3,6.7090000000000005
42,4,39635.66700000002
42,5,230418.55700000157
42,6,179731.13499999867
42,7,80515.85500000017
42,11,73252.70599999992
43,0,9555.234999999995
43,2,17842.844999999837
43,3,13.583999999999996
43,4,58134.92600000012
43,5,222013.44600000093
43,6,172605.2909999995
43,7,37831.684
43,8,37793.36500000003
43,11,34586.52800000003
44,0,14060.85
44,2,17837.70399999983
44,3,8.248999999999999
44,5,216904.69100000156
44,6,169347.732999999
44,7,37657.16600000001
