min,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class11
-72,1779.9299999999998,0,0,1,1,0,1,1,1,0,0,1
-71,1735.4820000000002,0,0,1,0,0,1,1,1,0,0,1
-70,1721.395,0,0,1,0,0,1,1,1,0,0,1
-69,1693.3259999999996,0,0,1,0,0,1,1,1,0,0,1
-68,1802.1150000000005,0,0,1,0,0,1,1,1,0,0,1
-67,1683.258,0,0,1,0,0,1,1,1,0,0,1
-66,1737.684,0,0,1,0,0,1,1,1,0,0,1
-65,1763.5180000000005,0,0,1,1,0,1,1,1,0,0,1
-64,1661.54,0,0,1,0,0,1,1,1,0,0,1
-63,1731.391,0,0,1,0,0,1,1,1,0,0,1
-62,1785.5030000000006,0,0,1,0,0,1,1,1,0,0,1
-61,1741.8749999999995,0,0,1,0,0,1,1,1,0,0,1
-60,1663.2100000000003,0,0,1,0,0,1,1,1,0,0,1
-59,1741.793,0,0,1,0,0,1,1,1,0,0,1
-58,1746.5870000000002,0,0,1,0,0,1,1,1,0,0,1
-57,1748.9220000000003,0,0,1,1,0,1,1,1,0,0,1
-56,1741.7890000000004,0,0,1,0,0,1,1,1,0,0,1
-55,1677.434,0,0,1,1,0,1,1,1,0,0,1
-54,1766.7990000000002,0,0,1,0,0,1,1,1,0,0,1
-53,1702.735,0,0,1,0,0,1,1,1,0,0,1
-52,1779.8459999999995,0,0,1,0,0,1,1,1,0,0,1
-51,1713.1919999999996,0,0,1,1,0,1,1,1,0,0,1
-50,1658.65,0,0,1,0,0,1,1,1,0,0,1
-49,1766.4849999999994,0,0,1,1,0,1,1,1,0,0,1
-48,1763.2000000000005,0,0,1,0,0,1,1,1,0,0,1
-47,1733.0709999999997,0,0,1,0,0,1,1,1,0,0,1
-46,1656.8219999999994,0,0,1,0,0,1,1,1,0,0,1
-45,1713.9509999999996,0,0,1,0,0,1,1,1,0,0,1
-44,1776.2969999999998,0,0,1,1,0,1,1,1,0,0,1
-43,1693.1640000000002,0,0,1,1,0,1,1,1,0,0,1
-42,1662.0019999999997,0,0,1,0,0,1,1,1,0,0,1
-41,1735.0100000000004,0,0,1,1,0,1,1,1,0,0,1
-40,1699.792,0,0,1,0,0,1,1,1,0,0,1
-39,1770.8160000000003,0,0,1,0,0,1,1,1,0,0,1
-38,1721.978,0,0,1,0,0,1,1,1,0,0,1
-37,1767.3279999999997,0,0,1,0,0,1,1,1,0,0,1
-36,1704.815,0,0,1,0,0,1,1,1,0,0,1
-35,1743.002,0,0,1,1,0,1,1,1,0,0,1
-34,1714.5089999999993,0,0,1,0,0,1,1,1,0,0,1
-33,1695.5300000000002,0,0,1,1,0,1,1,1,0,0,1
-32,1665.0920000000006,0,0,1,1,0,1,1,1,0,0,1
-31,1741.49,0,0,1,1,0,1,1,1,0,0,1
-30,1785.5690000000006,0,0,1,1,0,1,1,1,0,0,1
-29,1757.9410000000005,0,0,1,0,0,1,1,1,0,0,1
-28,1759.547,0,0,1,0,0,1,1,1,0,0,1
-27,1723.8380000000002,0,0,1,0,0,1,1,1,0,0,1
-26,1644.18,0,0,1,0,0,1,1,1,0,0,1
-25,1784.8800000000008,0,0,1,0,0,1,1,1,0,0,1
-24,1702.8760000000002,0,0,1,0,0,1,1,1,0,0,1
