hour,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class11
31,141087.53500000067,0,0,1,1,0,1,1,1,0,0,1
32,93836.87100000077,0,0,1,1,0,1,1,1,0,0,1
33,262486.690000001,0,0,1,1,0,1,1,1,0,0,1
34,548409.1199999999,0,0,1,1,0,1,1,1,0,0,1
35,519537.3019999988,0,0,1,1,0,1,1,1,0,0,1
36,526662.6090000005,0,0,1,1,0,1,1,1,0,0,1
37,446003.58200000064,0,0,1,1,0,1,1,1,0,0,1
38,123954.00100000024,0,0,1,1,0,1,1,1,0,0,1
39,496351.7509999994,0,0,1,1,0,1,1,1,0,0,1
40,552957.4429999983,0,0,1,1,0,1,1,1,0,0,1
41,507745.96799999947,0,0,1,1,0,1,1,1,0,0,1
42,598441.1480000012,0,0,1,1,1,1,1,1,0,0,1
43,565275.6910000012,1,0,1,1,1,1,1,1,1,0,1
44,510366.5929999995,1,0,1,1,0,1,1,1,1,0,1
45,200874.2710000002,1,0,1,1,0,1,1,1,1,0,1
46,89073.34099999999,1,0,1,1,0,1,1,1,1,0,1
47,91318.24799999924,0,0,1,1,0,1,1,1,0,0,1
48,90636.12799999963,0,0,1,1,0,1,1,1,0,0,1
49,94131.0179999991,0,0,1,1,0,1,1,1,0,0,1
50,93474.35499999889,0,0,1,1,0,1,1,1,0,0,1
51,92854.67899999877,0,0,1,1,0,1,1,1,0,0,1
52,94771.38699999919,0,0,1,1,0,1,1,1,0,0,1
53,93555.70899999882,0,0,1,1,0,1,1,1,0,0,1
54,384603.0809999988,0,0,1,1,0,1,1,1,0,0,1
55,546406.3189999973,0,0,1,1,0,1,1,1,0,0,1
56,527621.602999999,0,0,1,1,0,1,1,1,0,0,1
57,556146.858,0,0,1,1,0,1,1,1,0,0,1
58,477309.0879999998,0,0,1,1,0,1,1,1,0,0,1
59,496344.3149999991,0,0,1,1,0,1,1,1,0,0,1
60,533150.9729999995,0,0,1,1,0,1,1,1,0,0,1
61,526262.3579999987,0,0,1,1,0,1,1,1,0,0,1
62,465993.6359999984,0,0,1,1,0,1,1,1,0,0,1
63,483924.7150000011,0,0,1,1,0,1,1,1,0,0,1
64,521469.1999999989,0,0,1,1,0,1,1,1,0,0,1
65,665687.6809999979,1,0,1,1,1,1,1,1,1,0,1
66,612787.8610000004,1,0,1,0,1,1,1,1,1,0,1
67,593175.4299999987,0,0,1,0,1,1,1,1,0,0,1
68,242503.45000000036,0,0,1,0,0,1,1,1,0,0,1
69,271060.3710000007,0,0,1,0,0,1,1,1,0,0,1
70,138570.2560000003,0,0,1,0,0,1,1,1,0,1,1
71,109122.819999995,0,0,1,0,0,1,1,1,0,1,1
72,95379.58999999778,0,0,1,0,0,1,1,1,0,1,1
73,92693.29899999517,0,0,1,0,0,1,1,1,0,1,1
74,94820.77699999567,0,0,1,0,0,1,1,1,0,1,1
75,94914.25899999225,0,0,1,0,0,1,1,1,0,1,1
76,99725.69199999388,0,0,1,0,0,1,1,1,0,1,1
77,142835.15899999035,0,0,1,0,0,1,1,1,0,1,1
78,337897.40999999264,0,0,1,0,0,1,1,1,0,1,1
79,534400.9309999964,0,0,1,0,0,1,1,1,0,0,1
80,557699.6709999989,0,0,1,0,0,1,1,1,0,0,1
81,548698.2999999974,0,0,1,0,0,1,1,1,0,0,1
82,523612.901999997,0,0,1,0,0,1,1,1,0,0,1
83,542050.9539999969,0,0,1,0,0,1,1,1,0,0,1
84,480536.39399999817,0,0,1,0,0,1,1,1,0,0,1
85,134678.62399999952,0,0,1,0,0,1,1,1,0,0,1
86,317368.84899999946,0,0,1,0,0,1,1,1,0,0,1
87,486477.63299999747,0,0,1,0,0,1,1,1,0,0,1
88,512551.00699999847,0,0,1,1,0,1,1,1,0,0,1
89,681194.366999999,1,0,1,1,1,1,1,1,1,1,1
90,763463.6650000007,1,0,1,1,1,1,1,1,1,1,1
91,706782.7969999976,1,0,1,1,1,1,1,1,1,1,1
92,471061.8580000007,0,0,1,1,1,1,1,1,0,1,1
93,241501.61899999977,0,0,1,1,1,1,1,1,0,1,1
94,122809.37400000248,0,0,1,1,0,1,1,1,0,1,1
95,99274.66299999907,0,0,1,1,0,1,1,1,0,1,1
96,86354.40399999998,0,0,1,1,0,1,1,1,0,1,1
97,85638.62000000005,0,0,1,1,0,1,1,1,0,1,1
98,84750.20300000072,0,0,1,1,0,1,1,1,0,1,1
99,87017.0420000027,0,0,1,1,0,1,1,1,0,1,1
100,87420.73000000101,0,0,1,1,0,1,1,1,0,1,1
101,85634.18000000084,0,0,1,1,0,1,1,1,0,1,1
102,147283.7029999969,0,0,1,1,0,1,1,1,0,1,1
103,139559.49300000357,1,0,1,1,0,1,1,1,1,1,1
104,118439.01099999878,1,0,0,1,0,1,1,1,1,1,1
105,80660.92299999921,0,0,0,1,0,1,1,1,0,1,1
106,81967.22400000089,0,0,0,1,0,1,1,1,0,1,1
107,80998.96499999866,0,0,0,1,0,1,1,1,0,1,1
108,80174.00600000168,0,0,0,1,0,1,1,1,0,1,1
109,78930.73500000092,0,0,0,1,0,1,1,1,0,1,1
110,58025.64900000193,0,0,0,1,0,1,1,1,0,1,1
111,75648.95099999933,0,0,0,1,0,1,1,1,0,1,1
112,87523.33300000048,1,0,0,1,0,1,1,1,1,1,1
113,80417.52099999852,0,0,0,1,0,1,1,1,0,1,1
114,430566.4509999997,1,0,0,1,1,1,1,1,1,1,1
115,207516.06099999847,1,0,0,1,1,1,1,1,1,1,1
116,80148.3320000007,0,0,0,1,0,1,1,1,0,1,1
117,139341.85700000005,0,0,0,1,0,1,1,1,0,1,1
118,80824.04300000267,0,0,0,1,0,1,1,1,0,1,1
119,80900.8559999997,0,0,0,1,0,1,1,1,0,1,1
120,79700.23500000293,0,0,0,1,0,1,1,1,0,1,1
121,80415.6890000023,0,0,0,1,0,1,1,1,0,1,1
122,81168.75299999949,0,0,0,1,0,1,1,1,0,1,1
123,80492.20600000265,0,0,0,1,0,1,1,1,0,1,1
124,83072.17400000244,0,0,0,1,0,1,1,1,0,1,1
125,80920.31699999816,0,0,0,1,0,1,1,1,0,1,1
126,81200.81999999951,0,0,0,1,0,1,1,1,0,1,1
127,80437.37100000177,0,0,0,1,0,1,1,1,0,1,1
128,81781.21700000073,0,0,0,1,0,1,1,1,0,1,1
129,80472.75799999842,0,0,0,1,0,1,1,1,0,1,1
130,79887.59199999875,0,0,0,1,0,1,1,1,0,1,1
131,80631.71000000028,0,0,0,1,0,1,1,1,0,1,1
132,82211.6109999973,0,0,0,1,0,1,1,1,0,1,1
133,79442.59800000083,0,0,0,1,0,1,1,1,0,1,1
134,80432.86400000237,0,0,0,1,0,1,1,1,0,1,1
135,80306.32900000269,0,0,0,1,0,1,1,1,0,1,1
136,111870.80500000154,1,0,0,1,0,1,1,1,1,1,1
137,110592.233000002,0,0,0,1,1,1,1,1,0,1,1
138,198468.38300000186,1,0,0,1,1,1,1,1,1,1,1
139,275657.67699999723,1,0,0,1,1,1,1,1,1,1,1
140,173510.20400000038,1,0,0,1,1,1,1,1,1,1,1
141,84344.38000000484,1,0,0,1,0,1,1,1,1,1,1
142,111446.7140000013,0,0,0,1,0,1,1,1,0,1,1
143,184881.013999999,0,0,0,1,0,1,1,1,0,1,1
144,95764.43399999758,0,0,0,1,0,1,1,1,0,1,1
